team,manager,career_ppg,major_trophies_top5
Arsenal,Mikel Arteta,2.03,1
Aston Villa,Unai Emery,1.82,9
Bournemouth,Andoni Iraola,1.45,0
Brentford,Keith Andrews,1.61,0
Brighton & Hove Albion,Fabian Hurzeler,1.63,0
Burnley,Scott Parker,1.49,0
Chelsea,Liam Rosenior,1.59,0
Crystal Palace,Oliver Glasner,1.69,2
Everton,David Moyes,1.53,1
Fulham,Marco Silva,1.65,0
Leeds United,Daniel Farke,1.65,0
Liverpool,Arne Slot,2.05,1
Manchester City,Pep Guardiola,2.32,34
Manchester United,Michael Carrick (interim),1.63,0
Newcastle United,Eddie Howe,1.54,1
Nottingham Forest,Nuno Espirito Santo,1.68,0
Sunderland,Regis Le Bris,1.44,0
Tottenham Hotspur,Igor Tudor,1.58,0
West Ham United,Nuno Espirito Santo,1.68,0
Wolverhampton Wanderers,Rob Edwards,1.38,0
