position,team,pl,w,d,l,gf,ga,gd,points,form_last5,zone,delta
1,Arsenal,38,26,7,5,66,24,42,85,WLWWL,Champion,—
2,Manchester City,38,21,7,10,63,33,30,70,WLWLL,UCL,—
3,Aston Villa,38,20,6,12,46,40,6,66,LLWLW,UCL,▲ 1
4,Chelsea,38,18,10,10,59,40,19,64,DWWWL,UCL,▲ 2
5,Manchester United,38,17,11,10,59,48,11,62,LWLDL,UEL,▼ 2
6,Liverpool,38,18,7,13,54,45,9,61,WLLWW,UECL,▼ 1
7,Brentford,38,17,7,14,50,45,5,58,WLLWL,Mid,—
8,Brighton,38,15,11,12,46,40,6,56,DLWLW,Mid,▲ 2
9,Everton,38,16,7,15,40,39,1,55,WWLLL,Mid,▼ 1
10,Sunderland,38,15,10,13,36,39,-3,55,LWWWW,Mid,▲ 1
11,Newcastle,38,16,6,16,48,48,0,54,LWWLL,Mid,▲ 1
12,Fulham,38,16,5,17,46,48,-2,53,WWLLW,Mid,▼ 3
13,Bournemouth,38,11,16,11,49,53,-4,49,DLWWL,Mid,—
14,Crystal Palace,38,13,9,16,36,40,-4,48,LWWLW,Mid,—
15,West Ham,38,12,8,18,41,59,-18,44,LWLWW,Mid,▲ 3
16,Tottenham,38,11,9,18,44,53,-9,42,LWWLW,Mid,▲ 1
17,Nottingham Forest,38,11,9,18,35,47,-12,42,WLLDW,Mid,▼ 1
18,Leeds,38,9,13,16,40,53,-13,40,DLLWL,Relegation,▼ 3
19,Wolves,38,6,8,24,27,58,-31,26,WLLWW,Relegation,▲ 1
20,Burnley,38,5,8,25,34,67,-33,23,LWLLL,Relegation,▼ 1
